### Correlation ###
1391, 3731, 7, 192 => 820, 1222, 7, 192
1298, 3536, 10, 251 => 779, 1138, 10, 251
1908, 3360, 6, 210 => 1040, 1060, 6, 210
318, 3276, 8, 252 => 356, 1030, 8, 252
2835, 3226, 11, 255 => 1439, 999, 11, 255
2438, 3033, 1, 182 => 1267, 917, 1, 182
2305, 2774, 10, 252 => 1209, 806, 10, 252
1421, 2582, 4, 241 => 828, 727, 4, 241
2136, 2504, 7, 246 => 1135, 691, 7, 246
2221, 2271, 8, 249 => 1171, 590, 8, 249
1653, 2213, 8, 255 => 926, 568, 8, 255
2483, 2050, 4, 216 => 1283, 494, 4, 216
1865, 2020, 9, 249 => 1017, 484, 9, 249
1179, 1901, 7, 247 => 721, 435, 7, 247
1401, 1787, 5, 246 => 816, 385, 5, 246
2428, 1654, 7, 250 => 1257, 324, 7, 250
861, 1629, 1, 189 => 583, 320, 1, 189
1497, 1374, 6, 254 => 856, 207, 6, 254
2121, 1211, 5, 231 => 1124, 135, 5, 231
2218, 1182, 6, 241 => 1165, 122, 6, 241
2807, 1098, 4, 206 => 1418, 84, 4, 206
1323, 1041, 6, 254 => 780, 65, 6, 254
1383, 1014, 5, 244 => 805, 53, 5, 244
