x,y,r,b
1143, 4030, 1, 180
1847, 3996, 1, 182
1249, 3914, 1, 181
1447, 3910, 1, 180
1113, 3910, 1, 180
1979, 3853, 4, 190
1325, 3842, 2, 189
1196, 3824, 4, 180
785, 3811, 2, 182
908, 3795, 3, 182
843, 3768, 1, 180
1477, 3748, 2, 181
2681, 3744, 19, 224
1273, 3735, 1, 180
717, 3735, 1, 182
994, 3730, 3, 189
1089, 3726, 1, 180
912, 3713, 1, 184
1527, 3688, 1, 180
842, 3687, 2, 175
1374, 3685, 1, 182
1685, 3680, 1, 183
1227, 3675, 1, 182
1043, 3673, 1, 181
1113, 3668, 1, 185
946, 3663, 2, 184
1309, 3660, 2, 184
1582, 3650, 1, 181
1166, 3631, 1, 185
1382, 3624, 1, 182
1771, 3621, 1, 180
1064, 3616, 2, 180
817, 3610, 1, 187
999, 3608, 1, 183
1244, 3607, 1, 181
1330, 3596, 1, 182
1187, 3579, 1, 181
1680, 3577, 2, 181
1458, 3577, 1, 181
699, 3574, 2, 180
949, 3566, 1, 185
1098, 3564, 1, 183
852, 3557, 1, 181
1275, 3556, 2, 182
1560, 3547, 1, 180
1404, 3543, 1, 184
1041, 3541, 2, 181
1335, 3539, 1, 186
1162, 3527, 1, 180
1109, 3507, 1, 180
970, 3505, 1, 181
2374, 3504, 1, 185
1471, 3502, 1, 182
1285, 3502, 6, 183
1228, 3496, 1, 183
1547, 3492, 1, 182
1390, 3487, 2, 181
859, 3486, 1, 181
612, 3486, 2, 182
1664, 3483, 2, 184
918, 3481, 2, 180
1052, 3478, 1, 184
1612, 3477, 1, 181
1161, 3477, 1, 180
1340, 3476, 1, 181
515, 3476, 2, 185
1289, 3452, 6, 180
979, 3449, 1, 181
1456, 3442, 1, 180
1404, 3437, 2, 182
1535, 3432, 2, 184
1222, 3429, 1, 181
1709, 3428, 2, 180
1351, 3418, 3, 184
1122, 3417, 1, 182
1593, 3416, 1, 181
1040, 3416, 1, 181
909, 3416, 1, 181
1474, 3391, 2, 174
2025, 3390, 1, 183
1922, 3384, 1, 181
1300, 3381, 1, 181
975, 3377, 1, 182
1238, 3376, 3, 186
1745, 3368, 3, 181
1422, 3368, 1, 180
845, 3368, 1, 182
1157, 3366, 1, 183
911, 3366, 1, 184
1547, 3365, 3, 181
1071, 3365, 2, 184
1363, 3361, 2, 176
1644, 3357, 2, 183
574, 3355, 1, 180
755, 3354, 1, 182
1801, 3333, 1, 180
1496, 3333, 1, 180
669, 3331, 1, 181
1290, 3328, 1, 183
1870, 3327, 1, 180
1433, 3318, 4, 190
813, 3317, 3, 184
1182, 3316, 1, 182
1588, 3315, 3, 167
872, 3315, 2, 185
1234, 3313, 1, 180
1042, 3312, 1, 181
923, 3312, 1, 180
1114, 3310, 1, 180
980, 3308, 1, 180
1722, 3307, 6, 157
1670, 3306, 1, 180
1355, 3306, 1, 180
738, 3291, 1, 182
1783, 3282, 1, 182
1486, 3280, 5, 180
1537, 3279, 2, 177
1301, 3277, 2, 180
1880, 3273, 1, 187
1413, 3268, 1, 181
1165, 3265, 2, 186
814, 3261, 2, 180
1620, 3260, 3, 181
900, 3260, 1, 181
1227, 3259, 1, 181
1064, 3259, 2, 149
1942, 3258, 1, 186
1359, 3253, 1, 181
991, 3249, 4, 173
1681, 3246, 1, 186
692, 3235, 1, 180
1829, 3232, 1, 183
1755, 3231, 1, 183
1541, 3227, 2, 184
1303, 3225, 4, 186
747, 3225, 2, 182
1443, 3218, 3, 189
1174, 3212, 2, 180
1616, 3210, 2, 175
934, 3208, 1, 180
1061, 3207, 2, 184
1233, 3206, 1, 180
828, 3204, 1, 184
1377, 3200, 2, 179
1006, 3196, 1, 181
1701, 3194, 1, 181
1120, 3181, 3, 174
1806, 3179, 2, 176
1754, 3176, 2, 180
1511, 3176, 3, 180
1930, 3173, 1, 186
1300, 3173, 1, 180
720, 3168, 1, 181
1429, 3167, 2, 185
1176, 3160, 1, 181
1626, 3159, 1, 181
1575, 3159, 1, 180
953, 3157, 4, 184
1242, 3156, 2, 182
807, 3154, 4, 185
1351, 3149, 2, 180
1059, 3146, 1, 180
649, 3143, 1, 182
903, 3139, 1, 181
1676, 3135, 3, 184
1741, 3126, 1, 185
1114, 3124, 2, 182
1486, 3123, 3, 175
753, 3118, 1, 180
1866, 3117, 1, 181
1434, 3117, 1, 180
1005, 3115, 2, 186
1548, 3108, 1, 186
1622, 3107, 1, 180
1300, 3107, 3, 180
1806, 3106, 2, 185
1210, 3106, 3, 190
1928, 3102, 4, 194
1364, 3099, 1, 181
834, 3096, 1, 181
909, 3088, 1, 180
1055, 3084, 1, 182
1691, 3082, 1, 180
640, 3072, 1, 181
1745, 3071, 1, 181
1109, 3071, 1, 185
743, 3068, 1, 182
1490, 3067, 1, 180
971, 3065, 1, 182
1858, 3064, 1, 182
1547, 3057, 2, 185
1183, 3056, 2, 181
1440, 3055, 2, 185
1251, 3053, 1, 181
1630, 3052, 1, 181
1311, 3051, 2, 180
1804, 3048, 1, 182
1372, 3047, 1, 180
847, 3046, 1, 180
562, 3040, 2, 180
1925, 3038, 1, 184
899, 3032, 1, 181
1690, 3030, 2, 181
1026, 3026, 2, 181
1132, 3021, 5, 149
671, 3020, 2, 184
1496, 3017, 2, 180
1079, 3017, 3, 181
745, 3015, 2, 181
955, 3010, 7, 185
1546, 3005, 1, 183
1860, 3003, 1, 183
1245, 3003, 4, 181
1623, 3002, 2, 176
1310, 3001, 6, 198
1428, 2999, 1, 185
840, 2995, 3, 180
1191, 2992, 2, 185
1791, 2991, 2, 180
1364, 2984, 1, 184
1726, 2979, 3, 185
1676, 2978, 1, 181
1007, 2975, 1, 181
893, 2972, 2, 185
600, 2972, 1, 180
692, 2969, 1, 180
1495, 2967, 1, 181
1120, 2967, 2, 180
778, 2965, 3, 172
949, 2960, 1, 181
1572, 2955, 2, 183
1843, 2951, 1, 183
1261, 2950, 2, 180
1060, 2950, 1, 181
1419, 2949, 6, 178
1314, 2944, 3, 191
1782, 2941, 3, 185
1203, 2940, 5, 184
1364, 2932, 1, 180
842, 2932, 1, 180
1904, 2928, 1, 180
1688, 2926, 3, 181
1006, 2924, 1, 185
895, 2918, 2, 188
1623, 2917, 1, 184
1127, 2917, 3, 183
1518, 2916, 5, 187
772, 2915, 1, 181
682, 2912, 1, 180
945, 2909, 1, 180
1570, 2899, 1, 180
1462, 2898, 4, 181
1262, 2898, 1, 180
1066, 2896, 1, 182
1205, 2890, 1, 180
1831, 2888, 1, 180
1392, 2882, 1, 186
826, 2880, 1, 181
608, 2879, 3, 180
1342, 2878, 1, 185
1711, 2876, 1, 184
1005, 2869, 6, 186
1152, 2867, 1, 183
1647, 2866, 1, 180
1764, 2859, 1, 182
776, 2859, 1, 183
1515, 2858, 1, 189
882, 2858, 2, 176
689, 2857, 2, 181
1591, 2849, 1, 180
943, 2849, 2, 181
1968, 2848, 3, 182
1264, 2848, 1, 183
1460, 2846, 1, 182
1097, 2845, 1, 182
1212, 2840, 3, 178
1815, 2837, 2, 192
1392, 2829, 3, 182
631, 2827, 1, 180
1338, 2826, 2, 180
1886, 2820, 1, 182
1047, 2815, 3, 189
1695, 2814, 1, 180
1747, 2809, 1, 180
997, 2809, 1, 180
875, 2808, 1, 180
1511, 2806, 2, 182
809, 2806, 4, 187
1154, 2802, 1, 180
741, 2802, 1, 180
1272, 2797, 1, 181
1580, 2796, 1, 182
1456, 2796, 2, 176
947, 2795, 1, 180
1098, 2789, 4, 183
1631, 2787, 2, 180
1215, 2787, 2, 184
1820, 2778, 1, 180
1395, 2778, 1, 181
1324, 2775, 4, 178
666, 2771, 3, 182
1018, 2759, 1, 182
833, 2756, 1, 180
1517, 2752, 2, 184
1149, 2751, 2, 185
907, 2745, 3, 180
1717, 2744, 1, 181
1460, 2744, 1, 186
1571, 2743, 1, 180
1273, 2743, 3, 189
1096, 2739, 3, 172
1217, 2736, 1, 181
1653, 2734, 1, 196
763, 2732, 1, 182
964, 2728, 1, 182
1389, 2727, 2, 182
564, 2726, 1, 183
1324, 2725, 2, 180
1801, 2715, 1, 180
1035, 2706, 1, 180
678, 2706, 1, 182
836, 2703, 1, 181
1521, 2702, 2, 185
1167, 2700, 4, 176
886, 2694, 1, 180
1716, 2693, 1, 183
1590, 2693, 1, 184
1089, 2688, 1, 180
1246, 2686, 4, 183
1417, 2677, 6, 192
983, 2677, 1, 181
1359, 2675, 1, 184
1649, 2674, 2, 182
1306, 2669, 3, 182
1927, 2666, 1, 182
1818, 2658, 1, 184
1139, 2650, 2, 181
1532, 2649, 1, 182
1588, 2642, 1, 180
930, 2642, 1, 180
1089, 2638, 1, 181
1475, 2637, 1, 187
1192, 2636, 5, 180
879, 2634, 1, 189
1254, 2632, 2, 183
1013, 2627, 1, 180
1381, 2625, 1, 180
1713, 2624, 2, 181
772, 2623, 1, 183
1307, 2615, 1, 180
1861, 2606, 1, 184
1569, 2592, 1, 188
1140, 2589, 2, 181
1444, 2587, 1, 180
1204, 2586, 1, 180
1068, 2581, 1, 181
873, 2580, 1, 186
1386, 2574, 1, 180
1507, 2566, 1, 181
1710, 2555, 1, 180
1290, 2548, 1, 182
925, 2547, 1, 180
1121, 2537, 1, 182
1225, 2534, 1, 181
1646, 2524, 4, 196
1403, 2524, 1, 180
1342, 2519, 1, 180
1503, 2512, 1, 180
1041, 2498, 1, 185
1593, 2493, 1, 190
939, 2484, 2, 180
1223, 2482, 1, 183
1156, 2468, 1, 180
1301, 2463, 1, 181
2262, 2441, 7, 242
1030, 2440, 1, 182
1394, 2433, 1, 180
962, 2416, 5, 247
1095, 2414, 1, 181
1584, 2406, 5, 204
1236, 2406, 2, 180
413, 2406, 1, 180
1702, 2388, 1, 181
859, 2383, 4, 187
915, 2365, 1, 181
1490, 2360, 1, 182
1054, 2351, 1, 183
321, 2326, 10, 247
1251, 2313, 5, 223
1531, 2306, 1, 180
1602, 2283, 5, 209
1765, 2235, 1, 180
2029, 2230, 5, 203
1774, 2159, 5, 231
1648, 2089, 5, 254
1982, 2030, 12, 250
411, 1996, 5, 238
2194, 1918, 10, 252
398, 1898, 4, 201
1203, 1892, 4, 222
1145, 1872, 3, 192
279, 1859, 7, 250
2867, 1816, 8, 246
711, 1790, 6, 250
1254, 1776, 6, 220
1120, 1723, 3, 191
2223, 1714, 4, 237
1028, 1686, 7, 254
1578, 1684, 6, 242
874, 1683, 5, 222
1789, 1526, 3, 192
2457, 1504, 8, 239
1088, 1360, 6, 243
2121, 1303, 3, 182
464, 1241, 9, 248
2527, 1183, 8, 242
1375, 1081, 6, 249
77, 943, 17, 254
2305, 729, 15, 252
2542, 509, 2, 186
668, 378, 9, 157
61, 359, 19, 217
